Saint	Date	Patronage
St Agatha	February 5th	breast cancer,earth quakes,natural disaters,sterility,fire prevention,jewelers,martyrs,nurses,rape victims,
St Albert	November 15th	medical technicians,scientists,philosophers,schoolchildren,students
St Alexander of Alexandria	February 26th	 doctor of the church
St Andrew	November 30th	anglers,singers,unmarried women,women wanting to become mothers,against sore throats,gout
St Anne	July 26th	against poverty,carpenters,equestrians,pregnancy,miners,seamstresses,homemakers,grandparents
St Anthony	June 13th	starvation,American Indians,elderly,fishermen,lost articles,sailors,travellers,poor
St Apollonia	 February 9th	tooth disease,toothache,dentist
St Agustine	August 28th	sore eyes,brewers,printers,theologians
St Barbara	December 4th	fires,storms,architects,artillery,construction workers,firefighters,stone masons
St Benedict	July 11th	kidney disease,poisoning,school children
St Benjamin	March 31st	deacons
St Bernadette	April 16th	 poverty,sickness,shepherds,poor,
St Bernard	August 20th	beekeepers,bee,candlemakers,
St Blaise	February 3rd	throats diseases,coughs,veterinarians,animals,builders,carvers
St Boniface	June 5th	 brewers,file cutters,tailors
St Brendan 	May 16th	boatmen,mariners,sailors,travellers,whales,
St Camillus	July 14th	illness,sickness,hospitals,hospital workers,nurses
St Catherine	 April 29th	illness,fires,miscarriages,sickness,temptations,firefighters,nurses,ridiculed people
St Catherine Laboure	 November 28th	miraculous medal,
St Celcilia	November 22nd	composers,music,musicians,poets,singers,martyrs
St Charles	November 4th	abdominal pain,colic,intestinal disorders,ulcers,bishops,catechists,catechumens,seminarians,spiritual leaders
St Christopher	July 25th	bad dreams,epilepsy,floods,sotrms,toothache,archers,truck drivers,gardeners,travellers,motorist
St Clare of Assisi	August 11th	eyes,embroiderers,telephones,television,weather,gilders,goldsmiths,laundry workers,
St Cosmas	September 26th	 blindness,barbers,chemical industry,doctors,pharmacist,physicians,surgeons
St Damian	September 26th	 blindness,barbers,chemical industry,doctors,pharmacist,physicians,surgeons
St Daniel	July 21st	prophet
St David	 December 29th	poets
St Dennis	October 9th	headaches,hydrophobia,rabies,strife,possessed people
St Dominic	August 8th	astronomers,astronomy,scientists,falsely accused people
St Dorothy	February 6th	brewers,brides,florists,gardeneres,midwives,newlyweds
St Dymphna	May 15th	epilepsy,mental illness,psychiatrist,therapist,family happiness,neurological disorders
St Edith Stein	August 9th	death of parents,martyrs,europe
St Edward	October 13th	difficult marriages,kings,separated spouses
St Elizabeth Ann Seton	January 4th	death of children and parents,in-law issues,widows,apostleship of the sea
St Elizabeth of Hungary	November 17th	bakers,brides,charities,homeless,hospitals,widows,toothaches
St Florian	May 4th	against battle,against drowning,fire,floods,brewers,firefighters,
St Frances Cabini	December 22nd	malaria,emigrants,orphans
St Francis Assisi	October 4th	animals,ecologist,environment,families,merchants,peace,zoos
St Francis de Sales	January 24th	deafness,educators,journalist,teachers,writers
St Francis Xavier	December 3rd	missionaries,navigators,african,black,parish missions,plague,
St Gabriel	September 29th	broadcasters,clergy,diplomats,post office,postal services,television,telephones,radio
St Genesius	August 25th	actors,attorneys,clowns,comedians,converts,dancers,musicians,printers
St George	April 23rd	 herpes,plague,skin diseases,archers,butchers,farmers,equestrians,soldiers,shepherds
St Gerard	October 16th	childbirth,children,expectant mothers,motherhood,unborn,pro-life
St Gregory	September 3rd	 plague,educators,papcy,popes,schoolchildren,singers,students,teachers
St Helen	 August 18th	 archeologists,converts,difficult marriages,divorced people
St Hubert	November 3rd	archers,dogs,hunters,forest workers,mathematicians,opticians,
St Isidore	April 4th	computer users,technicians,internet,schoolchildren,students
St Ives	May 19th	advocates,judges
St James	 May 3rd	 pharmacists
St Jason	 July 12th	converts
